time_ns,resetn,m_valid,m_write,m_addr,m_ready,m_rdata,nn_valid,nn_write,nn_addr,nn_ready,nn_rdata,axis_start,axis_busy,axis_done,in_tvalid,in_tready,in_tdata,in_tlast,out_tvalid,out_tready,out_tdata,out_tlast,weight0,weight1,weight2,weight3,weight4,input0,input1,result0,result1
785000,1,1,0,0001100c,0,52465430,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
795000,1,0,0,00000008,0,00000000,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
805000,1,1,1,00011008,0,52465430,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
815000,1,1,1,00011008,1,52465430,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
825000,1,1,1,00011008,0,52465430,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
835000,1,0,0,00000008,0,00000000,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
845000,1,1,0,00011008,0,52465430,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
855000,1,1,0,00011008,1,00000001,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
865000,1,1,0,00011008,0,00000001,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
875000,1,0,0,00000008,0,00000000,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
885000,1,1,1,00011008,0,00000001,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
895000,1,1,1,00011008,1,00000001,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
905000,1,1,1,00011008,0,00000001,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
915000,1,0,0,00000008,0,00000000,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
925000,1,0,0,00000008,0,00000000,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
935000,1,0,0,00000008,0,00000000,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
945000,1,0,0,00000008,0,00000000,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
955000,1,1,0,00012000,0,00000000,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
965000,1,1,0,00012000,0,00000000,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
975000,1,1,0,00012000,1,00000050,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
985000,1,1,0,00012000,0,00000050,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
995000,1,0,0,00000008,0,00000000,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
1005000,1,1,0,00012004,0,00000050,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
1015000,1,1,0,00012004,0,00000050,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
